First Last,First,Last,Company,Domain
John Patrick Moynihan,John,Moynihan,Keeper Goals,www.keepergoals.com
Ted Chapman,Ted,Chapman,Go All Day,www.goallday.com
Lisa Perlmutter Gold,Lisa,Gold,LikeWear,www.likewear.com
Jack Moore,Jack,Moore,"J Brand Holdings, LLC",www.jbrandjeans.com
Richard Ward,Richard,Ward,Corporate Direct Apparel,www.merchology.com
Jocelyn Gailliot,Jocelyn,Gailliot,"Tuckernuck, Inc.",www.tnuck.com
Brian Burley,Brian,Burley,Axcel Sports,www.axcelsports.com
David Agnolucci,David,Agnolucci,"Life is Good, Inc.",www.lifeisgood.com
Nita Brown,Nita,Brown,MansaWear,www.mansawear.com
Carl Cunow,Carl,Cunow,Onia,www.onia.com
Michael Baker,Michael,Baker,Houndstooth Clothing,www.houndstooth.com
Idan Lahav,Idan,Lahav,Galia Lahav,www.galialahav.com
Emily Lau,Emily,Lau,"Little Bra Company, Llc, The",www.thelittlebracompany.com
Joanne Cloak,Joanne,Cloak,"Jofit, Llc",www.jofit.com
Colin Stocker,Colin,Stocker,Alpkit,www.alpkit.com
Kevin Lu,Kevin,Lu,"Casablanca Bridals, Inc",www.casablancabridal.com
Jennifer Mollan,Jennifer,Mollan,Pro Tone Pedals,www.protonepedals.com
Paul Zyl,Paul,Zyl,"PeaceVentures, Inc.",www.maiyet.com
Sharon Krief,Sharon,Krief,Ba&sh S.A.S.,www.ba-sh.com
Adam Frisby,Adam,Frisby,In The Style Fashion LTD,www.inthestyle.com
